Virulence genes contained in VFam
bont
cheA
cheW
cheY
cheZ
esaG
fimA
fimD
fimF
flaA
flaB
flaG
flgA
flgB
flgC
flgD
flgF
flgG
flgH
flgI
flgJ
flgK
flgL
flgM
flgN
flhA
flhB
flhF
fliA
fliC
fliD
fliE
fliF
fliG
fliH
fliI
fliJ
fliK
fliL
fliM
fliN
fliO
fliQ
fliR
fliS
galE
iutA
lpxA
lpxB
lpxD
motA
motB
neuA
ompA
pilA
pilB
pilC
pilD
pilF
pilM
pilN
pilO
pilP
pilQ
pilR
pilT
pilU
pilV
pilW
pilX
tssA
tssB
tssG
tssK
tssM
vgrG/tssI
virB10
